Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2024/215014,Labor-appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,1/7/2024,The Application Has Been Executed,2024/835 Labor appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/214240,Substantive dispute in Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,1/7/2024,Case Filed,2024/899 Substantive dispute in Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/212813,Civil appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,28-06-2024,The Application Has Been Executed,2024/1255 Civil appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/212021,Appeal of Inheritance Claims,سهاد الجبوري للمحاماة والإستشارات القانونية,27-06-2024,The Application Has Been Executed,2024/85 Appeal of Inheritance Claims,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/211953,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,27-06-2024,Case Filed,"2024/309 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/210228,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,26-06-2024,Case Filed,"2024/311 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/208149,Appeal of share'i order on petition case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,25-06-2024,Case Filed,"2024/6 Appeal of an order on petition, Sharia","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/206234,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,24-06-2024,The Application Has Been Executed,2024/2609 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/204054,Commercial Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-06-2024,The Application Has Been Executed,2024/2577 Commercial,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/204042,Civil Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,22-06-2024,The Application Has Been Executed,2024/2295 Civil,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/202361,Commercial appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,20-06-2024,The Application Has Been Executed,2024/1030 Commercial appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/200237,Real Estates Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,14-06-2024,The Application Has Been Executed,2024/1020 Real Estates,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/199295,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-06-2024,Case Filed,"2024/590 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/199008,Personal Status of Muslims case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,13-06-2024,Case Filed,"2024/1714 Personal Status, Muslim","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/197705,Appeal personal status and estates case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/6/2024,The Application Has Been Executed,2024/1059 Appeal of personal status and inheritance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/196585,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/6/2024,Case Filed,"2024/332 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/195880,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/6/2024,Case Filed,"2024/330 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/193314,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/6/2024,Case Filed,"2024/331 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/191302,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/6/2024,The Application Has Been Executed,2024/440 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/191125,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,7/6/2024,Case Filed,"2024/586 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/190135,Real Estate Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,6/6/2024,The Application Has Been Executed,2024/433 Real estate appeal,"Choose View Option
    View the application
    View the case
    View the payment receipt"
